防災必備！Costco儲備糧食組合讓你受困一年也不挨餓@ 食力 ...,www.foodnext.net/news/newsnation/paper/4739592051
防災必備！Costco儲備糧食組合讓你受困一年也不挨餓- Yahoo奇摩新聞,https://tw.news.yahoo.com/防災必備-costco儲備糧食組合-讓你受困- 年也不挨餓-085330826.html
日本樂天市場： 應急食品- 防災相關用品- 日用品雜貨‧文具- 60品項,https://global.rakuten.com/zh-tw/category/501122/
防災食品開發欣欣生技食品股份有限公司,www.hsinfood.com.tw/ec99/ushop1025/viewtopic.asp?note...
超專業「緊急避難包」 日本人防災準備不吃力| 台灣環境資訊協會-環境 ...,e-info.org.tw/node/115167
準備泡麵是沒用的！看日本防災食品如何發展| 花蓮強震撼全台| 要聞 ...,https://udn.com/news/story/6656/2976004
東急HANDS店員推薦的超實用防災用品- LIVE JAPAN (日本旅遊‧文化 ...,https://livejapan.com/zh-tw/article-a0000602/
5年不變質的「生命麵包」？—日本人的防災食品指南- 每日頭條,https://kknews.cc/zh-tw/news/9jv4m35.html
防災食品日本廠商推陳出新| 寰宇風味| 吃吃喝喝| 中央社即時新聞CNA ...,food.cna.com.tw/flavor/20150320s004.aspx
〈獨家〉乾燥飯、脫氧餅日防災食品有一套  TVBS新聞網,https://news.tvbs.com.tw/local/48685
