防災資訊_河川警戒,http://wise.wra.gov.tw/dataset/waterlevelwarningofdisasterpreventioninformation,經濟部水利署災害緊急應變小組，運用長期防災應變等相關經驗，進一步結合雨量、水位、水庫等即時資料，透過電腦科技的運算，提供民眾與相關單位水位警戒。讓民眾了解居家淹水風險，及早準備，降低災害的發生。本資料集係連結到KML(Keyhole Markup Language)檔案清冊，該格式是基於XML（eXtensible Markup...
高屏溪水系隘寮溪支流武洛溪河川區域圖,http://wise.wra.gov.tw/dataset/riverareamapofwuluoriver,由於社會發展迅速，沿岸土地利用及使用行為越來越多元，加以兩岸土地地籍重測、堤防護岸興建及自然環境變遷等因素，為使河川有效管理且顧及民眾權益及安全，需予劃定河川區域，釐訂管理範圍。依據水利法第78條之2與河川管理辦法第6及第7條規定，本署製作「高屏溪水系隘寮溪支流武洛溪河川區域圖」，其係經測量製作為數值河川圖籍後再轉換為KML檔案以供使用者下載套匯，並僅...
河川專題文章,http://wise.wra.gov.tw/dataset/rivertopicarticle,本資料集包含蒐集相關親水、河川復育、河川景觀整治工程、河川、水資源保育、水源、生態工程、生態保育、防災、節水、水文、教育、工程等水利生態相關文章。本資料集係由水利署資訊室水利知識服務網資料庫管理系統所提供。主要以「預知民眾需求」、「環境教育」、「學術研究」為導向配合水利署提出知相關主題，聘請水利生態相關領域之專家、達人、學者進行邀稿。每年不定期收錄相關...
河川流量測站站況,http://wise.wra.gov.tw/dataset/riverflowobservatoryprofile,本資料集主要描述水利署所屬流量站之基本資料，有助於了解流量站的相關內容。 資料集中包括包括測站所屬流域，主流、測站所屬之流域，支流、次支流，次支流、一級警戒水位高、二級警戒水位高，、三級警戒水位高、流域編號、是否易受天災破壞、所需車程、測站有市電供電、工程施工管理、設置之橋樑或構造物名稱、...
水資源作業基金附屬單位決算,http://wise.wra.gov.tw/dataset/waterresourcesoperationfundsubordinateagencyfinancialstatement,本資料集包括：「收支決算及說明、現金流量決算、平衡表明細、餘絀撥補明細」。
河川水位測站站況,http://wise.wra.gov.tw/dataset/riverstageobservatoryprofile,"本資料集主要描述水利署所屬水位站之基本資料，有助於了解水位站的相關內容。
包括測站所屬流域，主流、測站所屬之流域，支流、次支流，次支流、一級警戒水位高、二級警戒水位高，、三級警戒水位高、流域編號、是否易受天災破壞、所需車程、測站有市電供電、工程施工管理、設置之橋樑或構造物名稱、..."
水利署生活用水量統計,http://wise.wra.gov.tw/dataset/waterresourcesagencywaterconsumptionstatisticsfordomesticusage,本資料集為每年委辦統計前一年度資料並產製一次，各標的用水之運用情形，長久以來皆為經建、水利相關單位及各學術研究單位所重視，為使政府對於各項用水量，能有明確之統計數據，以利於各項用水政策的訂定，及各界進行水資源規劃之參考，本水利署為提供大眾此項寶貴資訊，固定每年出版用水統計報告。前揭統計年報之統計、編寫方式已沿用多年，近年來水資源開發及應用情勢變化日趨多...
中部地區水資源管理最新消息,http://wise.wra.gov.tw/dataset/centerregionwaterresourcesmanagementnews,"中部地區水資源管理最新消息，目前提供鯉魚潭水庫、石岡壩、集集攔河堰、湖山水庫、大安大甲溪水源聯合運用輸水工程計畫、烏溪鳥嘴潭人工湖工程計畫及大金海淡擴建工程之最新訊息，資料項目將會機動調整，以提供最新最完整之內容予社會大眾。本訊息由經濟部水利署中區水資源局提供。本局位於烏溪水系大里溪支流草湖溪左岸，左臨水利署水利規劃試驗所,右接水利署第三河川局,行政區..."
水利署及所屬法定預算,http://wise.wra.gov.tw/dataset/wralegalbudget,本資料集包括：「歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出用途別科目分析表、資本支出分析表、人事費用分析表、預算員額明細表、公務車輛明細表、辦公房舍明細表、補助經費分析表、捐助經費分析表、派員出國計畫預算總表、派員出國計畫類別表-開會、派員赴大陸計畫預算表、歲出按職能及經濟性綜合分類表、跨...
中區水資源局轄管水庫、堰、壩洩洪訊息,http://wise.wra.gov.tw/dataset/reservoirweirdamfloodmessageofcentralregionwaterresourcesoffice,經濟部水利署中區水資源局轄管水庫、堰、壩洩洪訊息，訊息來源包含鯉魚潭水庫、石岡壩、集集攔河堰及湖山水庫，於堰、壩有排洪、排砂、調節水量等需求，需要開啟閘門或水庫自然溢流情形發生時，公告相關訊息，提醒下游低窪地區民眾注意防範。由經濟部水利署中區水資源局提供，中區水資源局主管台灣中部地區水資源工程規劃、設計、施工，與所轄鯉魚潭水庫、石岡壩及集集攔河堰之營運...
